dataset,domain,method,status,runtime_sec,n_cohort_tau_pairs
delaney,molecular,ravel,OK,0.17,100
esol,molecular,ravel,OK,0.37,30
hiv,molecular,ravel,OK,9.85,100
lipophilicity,molecular,ravel,OK,0.79,2295
molhiv,molecular,ravel,OK,10.41,11560
muv,molecular,ravel,OK,43.64,38180
qm7,molecular,ravel,OK,1.12,100
sampl,molecular,ravel,OK,0.13,100
sider,molecular,ravel,OK,0.27,675
adult,tabular,ravel,OK,2.73,245
bank,tabular,ravel,OK,1.9,50
communities_crime,tabular,ravel,OK,0.22,45
compas,tabular,ravel,OK,46.68,190
credit_default,tabular,ravel,OK,0.85,80
diabetes,tabular,ravel,OK,0.12,20
german_credit,tabular,ravel,OK,0.12,70
heart_disease,tabular,ravel,OK,0.1,40
mushroom,tabular,ravel,OK,0.29,30
online_shoppers,tabular,ravel,OK,0.42,50
student_performance,tabular,ravel,OK,0.14,55
wine_quality,tabular,ravel,OK,0.26,30
ag_news,text,ravel,OK,88.41,20
amazon,text,ravel,OK,0.42,15
civil_comments,text,ravel,OK,0.39,25
dbpedia,text,ravel,OK,47.01,70
hate_speech,text,ravel,OK,11.99,25
imdb,text,ravel,OK,45.18,50
imdb_genre,text,ravel,OK,20.54,40
rotten_tomatoes,text,ravel,OK,11.03,25
sst2,text,ravel,OK,31.51,40
twitter,text,ravel,OK,0.41,50
yelp,text,ravel,OK,52.56,50
bace,molecular,rulsif,OK,0.07,630
bbbp,molecular,rulsif,OK,0.1,635
clintox,molecular,rulsif,OK,0.07,550
delaney,molecular,rulsif,OK,0.05,100
esol,molecular,rulsif,OK,0.07,30
freesolv,molecular,rulsif,OK,0.05,15
hiv,molecular,rulsif,OK,0.8,100
lipophilicity,molecular,rulsif,OK,0.68,2295
molhiv,molecular,rulsif,OK,3.72,11560
muv,molecular,rulsif,OK,22.42,38180
qm7,molecular,rulsif,OK,0.3,100
sampl,molecular,rulsif,OK,0.04,100
sider,molecular,rulsif,OK,0.14,675
tox21,molecular,rulsif,OK,0.79,280
toxcast,molecular,rulsif,OK,0.48,420
adult,tabular,rulsif,OK,0.4,245
bank,tabular,rulsif,OK,0.48,50
communities_crime,tabular,rulsif,OK,0.07,45
compas,tabular,rulsif,OK,51.79,190
credit_default,tabular,rulsif,OK,0.21,80
diabetes,tabular,rulsif,OK,0.02,20
german_credit,tabular,rulsif,OK,0.05,70
heart_disease,tabular,rulsif,OK,0.02,40
mushroom,tabular,rulsif,OK,0.12,30
online_shoppers,tabular,rulsif,OK,0.14,50
student_performance,tabular,rulsif,OK,0.05,55
wine_quality,tabular,rulsif,OK,0.13,30
ag_news,text,rulsif,OK,23.53,20
amazon,text,rulsif,OK,0.13,15
civil_comments,text,rulsif,OK,0.13,25
dbpedia,text,rulsif,OK,9.29,70
hate_speech,text,rulsif,OK,5.19,25
imdb,text,rulsif,OK,11.77,50
imdb_genre,text,rulsif,OK,6.55,40
rotten_tomatoes,text,rulsif,OK,4.91,25
sst2,text,rulsif,OK,9.07,40
twitter,text,rulsif,OK,0.14,50
yelp,text,rulsif,OK,12.43,50
bace,molecular,split_conformal,OK,0.04,630
bbbp,molecular,split_conformal,OK,0.02,635
clintox,molecular,split_conformal,OK,0.02,550
delaney,molecular,split_conformal,OK,0.01,100
esol,molecular,split_conformal,OK,0.0,30
freesolv,molecular,split_conformal,OK,0.0,15
hiv,molecular,split_conformal,OK,0.15,100
lipophilicity,molecular,split_conformal,OK,0.09,2295
molhiv,molecular,split_conformal,OK,2.22,11560
muv,molecular,split_conformal,OK,19.95,38180
qm7,molecular,split_conformal,OK,0.04,100
sampl,molecular,split_conformal,OK,0.01,100
sider,molecular,split_conformal,OK,0.02,675
tox21,molecular,split_conformal,OK,0.02,280
toxcast,molecular,split_conformal,OK,0.02,420
adult,tabular,split_conformal,OK,0.19,245
bank,tabular,split_conformal,OK,0.04,50
communities_crime,tabular,split_conformal,OK,0.0,45
compas,tabular,split_conformal,OK,0.06,190
credit_default,tabular,split_conformal,OK,0.1,80
diabetes,tabular,split_conformal,OK,0.01,20
german_credit,tabular,split_conformal,OK,0.01,70
heart_disease,tabular,split_conformal,OK,0.0,40
mushroom,tabular,split_conformal,OK,0.02,30
online_shoppers,tabular,split_conformal,OK,0.02,50
student_performance,tabular,split_conformal,OK,0.02,55
wine_quality,tabular,split_conformal,OK,0.01,30
ag_news,text,split_conformal,OK,0.02,20
amazon,text,split_conformal,OK,0.01,15
civil_comments,text,split_conformal,OK,0.02,25
dbpedia,text,split_conformal,OK,0.02,70
hate_speech,text,split_conformal,OK,0.01,25
imdb,text,split_conformal,OK,0.03,50
imdb_genre,text,split_conformal,OK,0.02,40
rotten_tomatoes,text,split_conformal,OK,0.02,25
sst2,text,split_conformal,OK,0.03,40
twitter,text,split_conformal,OK,0.03,50
yelp,text,split_conformal,OK,0.05,50
bace,molecular,ulsif,OK,0.08,630
bbbp,molecular,ulsif,OK,0.08,635
clintox,molecular,ulsif,OK,0.06,550
delaney,molecular,ulsif,OK,0.02,100
esol,molecular,ulsif,OK,0.04,30
freesolv,molecular,ulsif,OK,0.03,15
hiv,molecular,ulsif,OK,0.55,100
lipophilicity,molecular,ulsif,OK,0.22,2295
molhiv,molecular,ulsif,OK,2.47,11560
muv,molecular,ulsif,OK,14.05,38180
qm7,molecular,ulsif,OK,0.2,100
sampl,molecular,ulsif,OK,0.01,100
sider,molecular,ulsif,OK,0.06,675
tox21,molecular,ulsif,OK,0.2,280
toxcast,molecular,ulsif,OK,0.22,420
adult,tabular,ulsif,OK,0.28,245
bank,tabular,ulsif,OK,0.23,50
communities_crime,tabular,ulsif,OK,0.04,45
compas,tabular,ulsif,OK,40.15,190
credit_default,tabular,ulsif,OK,0.08,80
diabetes,tabular,ulsif,OK,0.03,20
german_credit,tabular,ulsif,OK,0.03,70
heart_disease,tabular,ulsif,OK,0.02,40
mushroom,tabular,ulsif,OK,0.08,30
online_shoppers,tabular,ulsif,OK,0.11,50
student_performance,tabular,ulsif,OK,0.03,55
wine_quality,tabular,ulsif,OK,0.08,30
ag_news,text,ulsif,OK,16.22,20
amazon,text,ulsif,OK,0.07,15
civil_comments,text,ulsif,OK,0.1,25
dbpedia,text,ulsif,OK,7.89,70
hate_speech,text,ulsif,OK,3.65,25
imdb,text,ulsif,OK,8.12,50
imdb_genre,text,ulsif,OK,4.81,40
rotten_tomatoes,text,ulsif,OK,3.62,25
sst2,text,ulsif,OK,5.39,40
twitter,text,ulsif,OK,0.11,50
yelp,text,ulsif,OK,8.89,50
bace,molecular,weighted_conformal,OK,0.08,630
bbbp,molecular,weighted_conformal,OK,0.07,635
clintox,molecular,weighted_conformal,OK,0.05,550
delaney,molecular,weighted_conformal,OK,0.06,100
esol,molecular,weighted_conformal,OK,0.03,30
freesolv,molecular,weighted_conformal,OK,0.02,15
hiv,molecular,weighted_conformal,OK,0.61,100
lipophilicity,molecular,weighted_conformal,OK,0.24,2295
molhiv,molecular,weighted_conformal,OK,2.78,11560
muv,molecular,weighted_conformal,OK,20.1,38180
qm7,molecular,weighted_conformal,OK,0.43,100
sampl,molecular,weighted_conformal,OK,0.06,100
sider,molecular,weighted_conformal,OK,0.1,675
tox21,molecular,weighted_conformal,OK,0.23,280
toxcast,molecular,weighted_conformal,OK,0.24,420
adult,tabular,weighted_conformal,OK,0.65,245
bank,tabular,weighted_conformal,OK,0.33,50
communities_crime,tabular,weighted_conformal,OK,0.13,45
compas,tabular,weighted_conformal,OK,46.55,190
credit_default,tabular,weighted_conformal,OK,0.21,80
diabetes,tabular,weighted_conformal,OK,0.07,20
german_credit,tabular,weighted_conformal,OK,0.07,70
heart_disease,tabular,weighted_conformal,OK,0.06,40
mushroom,tabular,weighted_conformal,OK,0.14,30
online_shoppers,tabular,weighted_conformal,OK,0.14,50
student_performance,tabular,weighted_conformal,OK,0.07,55
wine_quality,tabular,weighted_conformal,OK,0.14,30
ag_news,text,weighted_conformal,OK,21.99,20
amazon,text,weighted_conformal,OK,0.09,15
civil_comments,text,weighted_conformal,OK,0.11,25
dbpedia,text,weighted_conformal,OK,10.57,70
hate_speech,text,weighted_conformal,OK,5.15,25
imdb,text,weighted_conformal,OK,10.52,50
imdb_genre,text,weighted_conformal,OK,6.11,40
rotten_tomatoes,text,weighted_conformal,OK,4.86,25
sst2,text,weighted_conformal,OK,7.6,40
twitter,text,weighted_conformal,OK,0.14,50
yelp,text,weighted_conformal,OK,10.63,50
